company_name,website,vat_id,company_reg_number,score,priority,nace_codes,country
Elektro Ljubljana,https://www.elektro.com,,,0.28,S,D35,SI
UKC Ljubljana,https://www.ukc.com,,,0,S,Q86,SI
UKC Maribor,https://www.ukc.com,,,0.13,S,Q86,SI
Addiko Bank Slovenia,https://www.addiko.si,,,0.08,G,K64.1.9,SI
Gorenjska banka,https://www.gorenjska.si,,,0.08,G,K64.1.9,SI
Banka Intesa Sanpaolo,https://www.banka.si,,,0.33,S,K64.1.9,SI
Delavska hranilnica,,,,0.08,G,K64,SI
Sberbank banka,https://www.sberbank.com,,,0.13,G,K64.1.9,SI
Banka Koper,https://www.banka.si,,,0.28,S,K64.1.9,SI
Raiffeisenbank Slovenia,https://www.raiffeisenbank.com,,,0.08,G,K64.1.9,SI
Mercator Slovenia,https://www.mercator.si,,,0,S,G47.1.1,SI
Hofer Slovenia (Aldi),https://www.hofer.si,,,0.08,S,G47.1.1,SI
Tuš,https://www.tus.si,,,0.08,S,G47,SI
Slovenske železnice,https://www.slovenske.com,,,0.3,G,H49.1,SI
Pošta Slovenije,https://www.posta.com,,,0.33,S,H49,SI
Adria Airways,https://www.adria.si,,,0,E,H51,SI
Outfit7,https://www.outfit7.com,,,0,G,J62,SI
Celtra,,,,0,G,J62,SI
Zemanta,https://www.zemanta.si,,,0,G,J62,SI
University of Ljubljana,https://www.university.si,,,0.08,S,P85,SI
Smurfit Kappa Slovenia,https://www.smurfitkappa.com,,,0.33,S,C28,SI
Telemach Slovenia,https://www.telemach.si,,,0.25,G,J61,SI
T-Mobile Slovenia,,,,0.2,G,J61,SI
ELES Slovenia,https://www.eles.si,,,0.28,S,D35,SI
Elektro Maribor,https://www.elektro.com,,,0.28,S,D35,SI
Elektro Celje,https://www.elektro.com,,,0.28,S,D35,SI
Elektro Primorska,https://www.elektro.com,,,0.28,S,D35,SI
Vodovod Ljubljana,https://www.vodovod.com,,,0.28,S,D35,SI
Snaga Slovenia,https://www.snaga.com,,,0.33,S,E38,SI
BDO Slovenia,https://www.bdo.si,,,0.08,G,M70.2,SI
Grant Thornton Slovenia,https://www.grantthornton.si,,,0.08,G,M70.2,SI
RSM Slovenia,https://www.rsm.si,,,0.08,G,M70.2,SI
Affidea Slovenia,,,,0.21,S,Q86,SI
Synlab Slovenia,https://www.synlab.si,,,0.21,S,Q86,SI
